term,en,pl
App_Name,Tangle Tower,Tangle Tower
App_other_name,Tangle Tower,Tangle Tower
CANDELABOLD SDF,Fonts & Materials/CANDELABOLD SDF,
CurrentLanguage,English (UK),Polski
Notification/Reminder1,The mystery awaits at Tangle Tower...,Tajemnica czeka w Tangle Tower...
Numbers,1234567890,
OldNewspaperTypes SDF,Fonts & Materials/OldNewspaperTypes SDF,
OldNewspaperTypes SDF AREA,Fonts & Materials/OldNewspaperTypes SDF AREA,
OldNewspaperTypes SDF COMPASS,Fonts & Materials/OldNewspaperTypes SDF,
OldNewspaperTypes SDF PLANS,Fonts & Materials/OldNewspaperTypes SDF PLANS,
Select a clue.,Select a clue.,Wybierz trop.
Text Language,Text Language,Język tekstu
