term,en,pl
Puzzles/Connectors/CompareFelix connector 1 1,was stolen and replaced with,został skradziony i zastąpiony przez
Puzzles/Connectors/CompareFelix connector 1 2,is exactly the same as,jest dokładnie taki sam jak
Puzzles/Connectors/CompareFelix connector 1 3,was used to paint,posłużył do namalowania
Puzzles/Connectors/CompareFelix connector 1 4,is full of,jest pełen
Puzzles/Connectors/CompareFelix connector 1 5,was broken by,został rozbity przez
Puzzles/Connectors/CompareFelix connector 2 1,but the lids were swapped to hide it,"ale wieczka zostały zamienione, żeby to ukryć"
Puzzles/Connectors/CompareFelix connector 2 2,and both were left in Flora's Tower,i oba zostały zostawione w wieży Flory
Puzzles/Connectors/CompareFelix connector 2 3,and used as the murder weapon,i użyty jako narzędzie zbrodni
Puzzles/Connectors/CompareFelix connector 2 4,and broken by Felix,i rozbity przez Felixa
Puzzles/Connectors/CompareFelix connector 2 5,but Freya noticed what had happened,"ale Freya zauważyła, co się stało"
Puzzles/Connectors/CompareFifi connector 1 1,is the same thing as,to ta sama rzecz co
Puzzles/Connectors/CompareFifi connector 1 2,didn't know about,nie wiedziała o
Puzzles/Connectors/CompareFifi connector 1 3,is somewhat similar to,jest nieco podobny do
Puzzles/Connectors/CompareFifi connector 1 4,is the opposite of,jest przeciwieństwem
Puzzles/Connectors/CompareFifi connector 1 5,was hidden inside,był ukryty wewnątrz
Puzzles/Connectors/CompareFifi connector 2 1,which proves it belonged to Freya,"co dowodzi, że należał do Freyi"
Puzzles/Connectors/CompareFifi connector 2 2,so it shouldn't be in the photo,więc nie powinno go być na zdjęciu
Puzzles/Connectors/CompareFifi connector 2 3,but was lost by Fifi,ale zostały zgubione przez Fifi
Puzzles/Connectors/CompareFifi connector 2 4,which proves it belonged to Fifi,"co dowodzi, że należały do Fifi"
Puzzles/Connectors/CompareFifi connector 2 5,because it was stolen,ponieważ zostało skradzione
Puzzles/Connectors/CompareFitz connector 1 1,in Penny's room matches,w pokoju Penny pasuje do
Puzzles/Connectors/CompareFitz connector 1 2,was replaced by,została zastąpiona przez
Puzzles/Connectors/CompareFitz connector 1 3,in Flora's room matches,w pokoju Flory pasuje do
Puzzles/Connectors/CompareFitz connector 1 4,found in the garden is different from,znaleziona w ogrodzie różni się od
Puzzles/Connectors/CompareFitz connector 1 5,in Freya's room matches,w pokoju Freyi pasuje do
Puzzles/Connectors/CompareFitz connector 2 1,found in Fitz's greenhouse,znalezionej w szklarni Fitza
Puzzles/Connectors/CompareFitz connector 2 2,I brought for lunch,który przyniosłem na obiad
Puzzles/Connectors/CompareFitz connector 2 3,found in the garden,znalezionej w ogrodzie
Puzzles/Connectors/CompareFitz connector 2 4,found in Freya's room,znalezionej w pokoju Freyi
Puzzles/Connectors/CompareFitz connector 2 5,hidden under the floorboards,ukrytej pod deskami podłogi
Puzzles/Connectors/CompareFlora connector 1 1,is actually just,to tak naprawdę tylko
Puzzles/Connectors/CompareFlora connector 1 2,is made out of,jest zrobiony z
Puzzles/Connectors/CompareFlora connector 1 3,was stolen by,został skradziony przez
Puzzles/Connectors/CompareFlora connector 1 4,was hidden by,został ukryty przez
Puzzles/Connectors/CompareFlora connector 1 5,was created by,został stworzony przez
Puzzles/Connectors/CompareFlora connector 2 1,from an Inkdip bird,z ptaka Inkdip
Puzzles/Connectors/CompareFlora connector 2 2,from a swamp monster,z bagiennego potwora
Puzzles/Connectors/CompareFlora connector 2 3,from a golden insect,ze złotego owada
Puzzles/Connectors/CompareFlora connector 2 4,which doesn't exist,który nie istnieje
