term,en,pl
Controls/Activate Re-centre cursor,Activate / Re-centre cursor,Aktywuj / Wyśrodkuj kursor
Controls/Continue,Continue,Kontynuuj
Controls/Control types,Control types,Rodzaje sterowania
Controls/Controller,Controller,Kontroler
Controls/Controllers,Controllers,Kontrolery
Controls/Interact,Interact,Interakcja
Controls/Motion,Motion,Ruch
Controls/Move cursor,Move cursor,Przesuń kursor
Controls/SonyController,Controller,Kontroler
Controls/SonyMotion,Motion sensor function,Funkcja czujnika ruchu
Controls/Touch,Touch,Dotyk
Controls/Touch screen to interact,Touch screen to interact,"Dotknij ekranu, żeby wejść w interakcję"
Controls/Touchpad,Touch pad,Panel dotykowy
