term,en,pl
Clue/BuildingPlans/aviary,aviary,ptaszarnia
Clue/BuildingPlans/bed room,"bed
room","sypial
nia"
Clue/BuildingPlans/grand hall,grand hall,wielka sala
Clue/BuildingPlans/library,library,biblioteka
Clue/BuildingPlans/music room,"music
room","sala
muzyczna"
Clue/BuildingPlans/mystid mansion,mystid mansion,mystid mansion
Clue/BuildingPlans/north side cross section,north side cross section,przekrój strony północnej
Clue/BuildingPlans/rooftop garden,"rooftop
garden","ogród
na dachu"
Clue/BuildingPlans/storage,storage,magazyn
Clue/BuildingPlans/study,study,gabinet
Clues/Info/AngryLetter 1,"The envelope has been ripped open.
There is a single piece of paper inside.","Koperta została rozerwana.
W środku jest pojedyncza kartka papieru."
Clues/Info/AngryLetter 2,"The combination is drawn on the other sheet.

Once you have it memorized, destroy it.

I do not agree with your reasons.

You will not find it down there.","Kombinacja jest narysowana na drugiej kartce.

Gdy już ją zapamiętasz, zniszcz ją.

Nie zgadzam się z twoimi powodami.

Nie znajdziesz tego tam na dole."
Clues/Info/BirdBook 1,"The 'Inkdip' is a remarkably intelligent bird with
a very long lifespan, even among avian Mystids.","'Inkdip' to niezwykle inteligentny ptak o
bardzo długiej długości życia, nawet jak na Mystidy ptasie."
Clues/Info/BirdBook 2,"Other birds are often aggressive towards it,
and the Inkdip lives most of its life alone.","Inne ptaki są wobec niego często agresywne,
a Inkdip spędza większość życia samotnie."
Clues/Info/BirdBook 3,"It has particular feeding habits and usually only
eats the seeds of the 'Tantum Amica' (pictured)","Ma szczególne nawyki żywieniowe i zwykle
żywi się jedynie nasionami 'Tantum Amica' (na obrazku)"
Clues/Info/BirdBook 4,"Fifi says the book belongs to Flora, who hasn't been in the library for a long time.","Fifi mówi, że książka należy do Flory, która nie była w bibliotece od dawna."
Clues/Info/BirdBook 5,"Penny says the book is outdated, as this bird has been extinct for a number of years.","Penny mówi, że książka jest nieaktualna, bo ten ptak wymarł już wiele lat temu."
Clues/Info/BuildingPlans 1,"mystid mansion
north side cross-section","mystid mansion
przekrój strony północnej"
Clues/Info/BuildingPlans 2,"A roll of parchment on which the plans
for a grand mansion have been drawn.","Zwój pergaminu, na którym narysowano
plany okazałej rezydencji."
Clues/Info/BuildingPlans 3,"A horizontal line marks where the lake was before, and a second marks where it is now.","Pozioma linia zaznacza, gdzie było jezioro wcześniej, a druga - gdzie jest teraz."
Clues/Info/BuildingPlans 4,"The mansion has been built on top of a large structure above the lake, supported by pillars.","Rezydencja została zbudowana na wielkiej konstrukcji nad jeziorem, wspartej na filarach."
Clues/Info/BuildingPlans 5,Freya's room is listed as 'storage.',Pokój Freyi jest oznaczony jako 'magazyn'.
Clues/Info/BuildingPlans 6,A room labelled 'study' is in the centre.,Pokój oznaczony 'gabinet' znajduje się na środku.
Clues/Info/BurntItems 1,Not much more than a pile of dust and ash.,Niewiele więcej niż sterta pyłu i popiołu.
Clues/Info/BurntItems 2,Among the ashes are several black buttons.,Wśród popiołu jest kilka czarnych guzików.
Clues/Info/BurntItems 3,Red-coloured scraps of fabric are still visible.,Wciąż widoczne są czerwonawe skrawki materiału.
Clues/Info/CaseFile 1,"Murder victim: Freya Fellow (19)
Died whilst painting a portrait of Flora Fellow (58)","Ofiara morderstwa: Freya Fellow (19)
Zginęła podczas malowania portretu Flory Fellow (58)"
Clues/Info/CaseFile 2,"Location: Flora's Tower.
Flora was present, as she was posing for a portrait.","Miejsce: Wieża Flory.
Flora była obecna, gdyż pozowała do portretu."
Clues/Info/CaseFile 3,"Freya Fellow was found lying on her back,
with a single stab wound on her chest.","Freyę Fellow znaleziono leżącą na plecach,
z pojedynczą raną kłutą na klatce piersiowej."
Clues/Info/CaseFile 4,"No weapon was found at the scene, but the subject of Freya's unfinished painting is holding a knife.","Nie znaleziono broni na miejscu zbrodni, ale postać na niedokończonym obrazie Freyi trzyma nóż."
Clues/Info/CaseFile 5,"The red colour on the tip of the knife is not paint.
It was discovered to be blood.","Czerwony kolor na czubku noża to nie farba.
Odkryto, że to krew."
Clues/Info/CeramicEgg 1,"Once unlocked, the egg can be opened.
It's currently empty.","Po odblokowaniu jajko można otworzyć.
Obecnie jest puste."
Clues/Info/CeramicEgg 2,"The lining of the egg is a soft, velvet-like material.","Wyściółka jajka to miękki, aksamitny materiał."
Clues/Info/CeramicEgg 3,"The egg is supported by a stand made of brass.
It rests on three strange feet with pointed claws.","Jajko jest podparte na mosiężnej podstawce.
Spoczywa na trzech dziwnych stopach z ostrymi pazurami."
Clues/Info/CeramicEgg 4,Flora usually keeps a feather locked inside this egg.,Flora zwykle trzyma pióro zamknięte w tym jajku.
Clues/Info/ChildrensBook 1,A children's picture book. It looks very old.,Dziecięca książka z obrazkami. Wygląda bardzo staro.
Clues/Info/ChildrensBook 10,Mystids of the Sea and Sky,Mystidy Morza i Nieba
Clues/Info/ChildrensBook 2,The Inkdip,Inkdip
Clues/Info/ChildrensBook 3,An elegant bird with red and white plumage.,Elegancki ptak o czerwono-białym upierzeniu.
Clues/Info/ChildrensBook 4,The Silversnake,Srebrny Wąż
Clues/Info/ChildrensBook 5,An aquatic reptile with no eyes and a long tongue.,Wodny gad bez oczu i z długim językiem.
Clues/Info/ChildrensBook 6,The Soulbearer,Nosiciel Dusz
Clues/Info/ChildrensBook 7,A crab with three differently sized claws.,Krab z trzema szczypcami różnej wielkości.
Clues/Info/ChildrensBook 8,The Amphobi,Amfobi
Clues/Info/ChildrensBook 9,A frog-like creature walking on two legs.,Żabopodobne stworzenie chodzące na dwóch nogach.
Clues/Info/CrackedTape 1,The cassette tape has a crack down the middle.,Kaseta magnetofonowa ma pęknięcie przez środek.
Clues/Info/CrackedTape 2,There is a handwritten message on the label:,Na etykiecie jest odręczna wiadomość:
Clues/Info/CrackedTape 3,To Freya.,Dla Freyi.
Clues/Info/CrackedTape 4,"It's a recording of piano music.
It plays for a short while before stopping.","To nagranie muzyki fortepianowej.
Gra przez krótką chwilę, po czym się zatrzymuje."
Clues/Info/CrackedTape 5,"Poppy recorded the piano music for Freya,
and gave the tape to her as a gift.","Poppy nagrała muzykę fortepianową dla Freyi
i podarowała jej tę taśmę w prezencie."
Clues/Info/CrackedTape 6,"The tape seems to have received the crack
recently, possibly during the murder.","Wygląda na to, że taśma pękła
niedawno, możliwe że podczas morderstwa."
Clues/Info/CrumpledPetals 1,"A ripped piece of paper, crumpled into a ball.
Red flower petals were found inside.","Podarty kawałek papieru, zgnieciony w kulkę.
W środku znaleziono czerwone płatki kwiatów."
Clues/Info/CrumpledPetals 2,A message is angrily scrawled onto the paper:,Na papierze wściekle nabazgrano wiadomość:
Clues/Info/CrumpledPetals 3,NOW I'LL GET HER!,TERAZ JĄ DOSTANĘ!
Clues/Info/CrumpledPetals 4,"The flower petals originate from red roses, growing the Rooftop Garden.","Płatki kwiatów pochodzą z czerwonych róż, rosnących w ogrodzie na dachu."
Clues/Info/CrumpledPetals 5,"The petals were taken from the rooftop
garden by Penny's yellow bird.","Płatki zostały zabrane z ogrodu
na dachu przez żółtego ptaka Penny."
Clues/Info/DamagedPhoto 1,"It's been framed, but is slightly damp.","Zostało oprawione w ramkę, ale jest lekko wilgotne."
Clues/Info/DamagedPhoto 2,"The photograph shows a young girl.
","Fotografia przedstawia młodą dziewczynę.
"
Clues/Info/DamagedPhoto 3,A large man is sitting next to her.,Obok niej siedzi wielki mężczyzna.
Clues/Info/DamagedPhoto 4,Around them are several red and white birds.,Wokół nich jest kilka czerwono-białych ptaków.
Clues/Info/DamagedPhoto 5,"A metal object was stabbed into the photo,
leaving a hole near the man's chest.","Metalowy przedmiot został wbity w zdjęcie,
pozostawiając dziurę blisko klatki piersiowej mężczyzny."
Clues/Info/DamagedTape 1,"The cassette tape has been damaged by water.
The ink on the label is blurred and illegible.","Kaseta magnetofonowa została uszkodzona przez wodę.
Atrament na etykiecie jest rozmazany i nieczytelny."
Clues/Info/DamagedTape 2,"It's a recording of someone walking outdoors.
A distorting humming melody can be heard.","To nagranie kogoś idącego na zewnątrz.
Słychać zniekształconą, nuconą melodię."
Clues/Info/DamagedTape 3,"Poppy says it looks like a tape she
gave to Freya a few weeks ago.","Poppy mówi, że wygląda jak taśma, którą
dała Freyi kilka tygodni temu."
Clues/Info/DamagedTape 4,The humming melody caused a reaction from the wooden toy...,Nucona melodia wywołała reakcję u drewnianej zabawki...
Clues/Info/FelixsModels 1,"A wooden carving of a man holding a sword.
The model has been hand-painted, but the paint is not skilfully applied.","Drewniana rzeźba mężczyzny trzymającego miecz.
Model został ręcznie pomalowany, ale farba nie jest nałożona umiejętnie."
Clues/Info/FelixsModels 2,"Yellow, blue, black and white
paints were found nearby.","W pobliżu znaleziono żółtą, niebieską,
czarną i białą farbę."
Clues/Info/FelixsModels 3,Fifi was confused as to how Felix painted this without any red paint.,"Fifi była zdezorientowana, jak Felix pomalował to bez żadnej czerwonej farby."
Clues/Info/FelixsModels 4,"Felix said he does own a sword, but he doesn't keep any weapons at Tangle Tower.","Felix powiedział, że owszem, posiada miecz, ale nie trzyma żadnej broni w Tangle Tower."
Clues/Info/FlorasDrawings 1,Drawings of Flora and a small bird.,Rysunki Flory i małego ptaka.
Clues/Info/FlorasDrawings 2,There is a handwritten message on the back:,Z tyłu jest odręczna wiadomość:
Clues/Info/FlorasDrawings 3,"These are for you.
Love, Freya x","To dla ciebie.
Kocham, Freya x"
Clues/Info/FourFeathers 1,The feathers were mostly found resting on the tongue of the large stone frog.,Pióra znaleziono głównie na języku wielkiej kamiennej żaby.
Clues/Info/FourFeathers 2,Fitz says he doesn't clear up the rooftop garden.,"Fitz mówi, że nie sprząta ogrodu na dachu."
