term,en,pl
MakingOf/Art Gallery,"ART
GALLERY","GALERIA
SZTUKI"
MakingOf/Art by Adam Vian,Art by Adam Vian,Grafika: Adam Vian
MakingOf/Art by Catherine Unger,Art by Catherine Unger,Grafika: Catherine Unger
MakingOf/Art by Jonathan Harris,Art by Jonathan Harris,Grafika: Jonathan Harris
MakingOf/Clues/AngryLetter info 1,"A Rough painting of a mysteriously opened letter. The envelope is crumpled to show that someone had crunched it up and thrown it away.

I tried to make the font slightly illegible to avoid localization issues  later in development. 

-Catherine","Szkicowy obraz tajemniczo otwartego listu. Koperta jest wygnieciona, żeby pokazać, że ktoś ją zgniótł i wyrzucił.

Starałam się, żeby czcionka była lekko nieczytelna, żeby uniknąć problemów z lokalizacją później w produkcji.

-Catherine"
MakingOf/Clues/BirdBook info 1,"Designing the 'Inkdip bird' centred around it’s unique tail feather, which looks very similar to a blood-stained knife...

Its final design mirrors Flora’s tall, bowling pin-like shape.

-Catherine","Projektowanie 'ptaka Inkdip' skupiało się wokół jego unikalnego pióra ogonowego, które wygląda bardzo podobnie do zakrwawionego noża...

Jego finalny projekt odzwierciedla wysoki, kręglopodobny kształt Flory.

-Catherine"
MakingOf/Clues/BuildingPlans info 1,"This was a chance to explore the building's history. For instance - Freya's room was converted from a storage room, and the rooftop garden used to actually be at the top of the house.

For clarity, the building diagram matches the 'doll's house' style view of the in-game map screen - but it does make you wonder... are there other rooms? A kitchen maybe? A bathroom??

-Adam

","To była okazja, żeby zbadać historię budynku. Na przykład - pokój Freyi został przerobiony z magazynu, a ogród na dachu kiedyś faktycznie znajdował się na samym szczycie domu.

Dla jasności, diagram budynku pasuje do widoku w stylu 'domku dla lalek' z ekranu mapy w grze - ale to każe się zastanawiać... czy są jeszcze inne pokoje? Może kuchnia? Łazienka??

-Adam

"
MakingOf/Clues/BurntItems info 1,"We wanted show ashes, but it was important to show evidence of what had been burned in the first place.

Making the burnt items look scorched, but also recognisable was a little challenge.

-Catherine","Chcieliśmy pokazać popiół, ale ważne było pokazanie dowodu na to, co zostało spalone w pierwszej kolejności.

Sprawienie, żeby spalone przedmioty wyglądały na przypalone, ale wciąż rozpoznawalne, było małym wyzwaniem.

-Catherine"
MakingOf/Clues/CaseFile info 1,"Grimoire’s first clue!

It was a juggling act to get all the right visual information onto one clue image.

We try not to show dead bodies in Grimoire games - white lines always work a treat.

-Catherine","Pierwszy trop Grimoire'a!

Żonglerka, żeby zmieścić wszystkie właściwe informacje wizualne na jednym obrazku tropu.

Staramy się nie pokazywać ciał w grach o Grimoire - białe linie zawsze się sprawdzają.

-Catherine"
MakingOf/Clues/CeramicEgg info 1,"Based on ornate Fabergé eggs.

The prototype puzzle that was made for this clue meant that gems became a defining feature of its design.

-Catherine","Oparte na ozdobnych jajkach Fabergé.

Prototypowa zagadka stworzona dla tego tropu sprawiła, że klejnoty stały się definiującą cechą jego projektu.

-Catherine"
MakingOf/Clues/ChildrensBook info 1,"This particular book needed to feel older than the others, but also feel like something that a child would read, so we had a lot of researching vintage children’s books

As you can see, my ability to come up with inspiring creature names isn’t my greatest talent.

-Catherine","Ta konkretna książka musiała wydawać się starsza niż inne, ale też sprawiać wrażenie czegoś, co czytałoby dziecko, więc sporo badaliśmy vintage'owe książki dla dzieci.

Jak widać, wymyślanie inspirujących nazw stworzeń nie jest moim największym talentem.

-Catherine"
