term,en,pl
Conversation/FelixAngryLetter/Section ds14,...,...
Conversation/FelixAngryLetter/Section ds15,I'm as confused as you are.,Jestem tak samo zdezorientowany jak ty.
Conversation/FelixBirdBook/Section ds10,It was in the library.,Było w bibliotece.
Conversation/FelixBirdBook/Section ds11,...really?,...naprawdę?
Conversation/FelixBirdBook/Section ds12,How odd.,Jak dziwnie.
Conversation/FelixBirdBook/Section ds7,Where did you find that?,Gdzie to znalazłaś?
Conversation/FelixCaseFile/Section ds23,It's my case file. It's how I know what I'm supposed to be doing.,"To moje akta sprawy. Dzięki nim wiem, co mam robić."
Conversation/FelixCaseFile/Section ds30,What's this...?,Co to takiego...?
Conversation/FelixCaseFile/Section ds38,You mean to say you're bound by the limits of what's written in this little document?,"Chcesz powiedzieć, że jesteś związany granicami tego, co napisano w tym małym dokumencie?"
Conversation/FelixCaseFile/Section ds41,-sounds dreadful!,-brzmi okropnie!
Conversation/FelixCaseFile/Section ds42,I find it comforting.,Uważam to za krzepiące.
Conversation/FelixCeramicEgg/Section ds12,Does Flora normally keep something in here...?,Czy Flora zwykle coś tu trzyma...?
Conversation/FelixCeramicEgg/Section ds13,"She must do...
But I admit - I've never managed to work out what.","Musi...
Ale przyznam - nigdy nie udało mi się dowiedzieć, co."
Conversation/FelixCeramicEgg/Section ds15,Why not just ask her?,Czemu po prostu jej nie zapytasz?
Conversation/FelixCeramicEgg/Section ds16,I feel like if somebody keeps something locked away in a ceramic egg...,"Mam wrażenie, że jeśli ktoś trzyma coś zamknięte w ceramicznym jajku..."
Conversation/FelixCeramicEgg/Section ds17,It's because they [h]don't[/h] want to be asked about it.,"To dlatego, że [h]nie[/h] chce być o to pytany."
Conversation/FelixCeramicEgg/Section ds18,Rules to live by...,"Zasady, którymi warto się kierować..."
Conversation/FelixCrackedTape/Section ds7,That looks like it might belong to Poppy.,"To wygląda, jakby mogło należeć do Poppy."
Conversation/FelixCrumpledPetals/Section ds7,Goodness me...!,Mój Boże...!
Conversation/FelixDamagedTape/Section ds7,That looks like it might belong to Poppy.,"To wygląda, jakby mogło należeć do Poppy."
Conversation/FelixFelix/Section ds3,...,...
Conversation/FelixFelix/Section ds4,Let's move on.,Przejdźmy dalej.
Conversation/FelixFelix/Section ds5,[h]You're[/h] the one currently basking in his presence - you tell me!,"[h]Ty[/h] jesteś tym, który akurat teraz raduje się jego obecnością - powiedz mi!"
Conversation/FelixFelixsModels/Section ds10,I do indeed! Freya kindly taught me the basics.,Ależ owszem! Freya uprzejmie nauczyła mnie podstaw.
Conversation/FelixFelixsModels/Section ds11,Nowadays I can make just about anything I can imagine!,"Dziś potrafię zrobić prawie wszystko, co sobie wyobrażę!"
Conversation/FelixFelixsModels/Section ds12,Of course - this particular model is a self-portrait based on [h]hard fact.[/h],Oczywiście - ten konkretny model to autoportret oparty na [h]twardych faktach.[/h]
Conversation/FelixFelixsModels/Section ds16,"Do you paint them yourself, too?",Sam je też malujesz?
Conversation/FelixFelixsModels/Section ds18,"Hard fact, huh.","Twarde fakty, no proszę."
Conversation/FelixFelixsModels/Section ds19,"So... you own a sword, Felix?","Więc... posiadasz miecz, Felixie?"
Conversation/FelixFelixsModels/Section ds20,"Of course, I own a great many.","Oczywiście, posiadam ich całkiem sporo."
Conversation/FelixFelixsModels/Section ds21,-but my weapons are stored well away from Tangle Tower. ,-ale moja broń jest przechowywana z dala od Tangle Tower.
