term,en,pl
Examine/ATTICEXAMboxleft/Section ds0,What's in that little box?,Co jest w tym małym pudełku?
Examine/ATTICEXAMboxleft/Section ds1,"I bet it's bones.
","Założę się, że kości.
"
Examine/ATTICEXAMboxleft/Section ds3,You know maybe I [h]won't[/h] open it.,"Wiesz, może jednak [h]nie[/h] otworzę tego."
Examine/ATTICEXAMboxleft/Section ds5,A skull [h]at least.[/h],Przynajmniej [h]czaszka.[/h]
Examine/ATTICEXAMcantleave/Section ds5,...I feel like there's [h]gotta[/h] be a clue up here.,"...czuję, że gdzieś tu [h]musi[/h] być jakiś trop."
Examine/ATTICEXAMceiling/Section ds0,"Sally, you don't have a dust allergy do you?","Sally, nie masz przypadkiem alergii na kurz?"
Examine/ATTICEXAMceiling/Section ds1,No - do you?,Nie - a ty?
Examine/ATTICEXAMceiling/Section ds2,>sneeze<,>kicha<
Examine/ATTICEXAMceiling/Section ds6,Let me put it this way...,Ujmę to tak...
Examine/ATTICEXAMdrapes/Section ds2,At least the moths are kept well fed.,Przynajmniej mole są dobrze odżywione.
Examine/ATTICEXAMgap/Section ds0,There's a decent gap between those floorboards...,Między tymi deskami jest niezła szpara...
Examine/ATTICEXAMgap/Section ds0 Choice 1,Look closer.,Przyjrzyj się bliżej.
Examine/ATTICEXAMgap/Section ds0 Choice 2,Leave it alone.,Zostaw to w spokoju.
Examine/ATTICEXAMgap/Section ds8,"It's just daylight, I think...",To chyba tylko światło dzienne...
Examine/ATTICEXAMgap/Section ds9,Where's that light coming from?,Skąd bierze się to światło?
Examine/ATTICEXAMjunkbg/Section ds1,Nothing catching my interest...,Nic mnie tu nie interesuje...
Examine/ATTICEXAMjunkbg/Section ds2,"I'm sorry, is this spooky attic boring you?","Przepraszam, ten straszny strych cię nudzi?"
Examine/ATTICEXAMjunkbg/Section ds3,Kinda.,Trochę.
Examine/ATTICEXAMjunkfg/Section ds0,Just... dusty junk.,Po prostu... zakurzone graty.
Examine/ATTICEXAMreel/Section ds0,What [h]is[/h] that?,Co to [h]jest[/h]?
Examine/ATTICEXAMreel/Section ds1,"Not sure.
Some kind of reel?","Nie jestem pewna.
Jakaś szpula?"
Examine/ATTICEXAMreel/Section ds2,Looks like it might attach to something...,"Wygląda, jakby dało się to gdzieś podłączyć..."
Examine/ATTICEXAMstatue/Section ds0,"It's a jar.
The head screws off.","To słój.
Głowa się odkręca."
Examine/ATTICEXAMstatue/Section ds1,Huh.,Huh.
Examine/ATTICEXAMwerewolf/Section ds0,It's a statue of a wolf.,To posąg wilka.
Examine/ATTICEXAMwerewolf/Section ds2,"Standing up straight.
Like a man.","Stojący prosto.
Jak człowiek."
Examine/ATTICEXAMwerewolf/Section ds3,You know there's a name for that.,"Wiesz, że jest na to nazwa."
Examine/ATTICEXAMwerewolf/Section ds4,I know.,Wiem.
Examine/ATTICEXAMwerewolf/Section ds5,"Also, it's not a statue.",Poza tym to nie jest posąg.
Examine/ATTICEXAMwerewolf/Section ds6,It's stuffed.,Jest wypchany.
Examine/ATTICEXAMwerewolf/Section ds7,It's not quite as dusty as everything else up here...,Nie jest tak zakurzony jak wszystko inne tutaj...
Examine/ATTICEXAMwerewolf/Section ds8,...,...
Examine/ATTICEXAMwindow/Section ds1,...,...
Examine/ATTICEXAMwindow/Section ds2,Someone painted out the window.,Ktoś zamalował okno.
Examine/ATTICEXAMwindow/Section ds4,Do you think it was done recently?,"Myślisz, że zrobiono to niedawno?"
Examine/ATTICEXAMwindow/Section ds5,No idea.,Nie mam pojęcia.
Examine/ATTICEXAMwindow/Section ds6,Either way it's pretty suspicious.,"Tak czy inaczej, to dość podejrzane."
Examine/Aftermath Beginning/Section ds12,...?,...?
Examine/Aftermath Beginning/Section ds13,You two alright?,"Wszystko w porządku, wy dwoje?"
Examine/Aftermath Beginning/Section ds15,Poppy! They are both awake.,Poppy! Oboje są przytomni.
Examine/Aftermath Beginning/Section ds20,I can see.,Widzę.
Examine/Aftermath Beginning/Section ds22,What's going on?,Co się dzieje?
Examine/Aftermath Beginning/Section ds23,"My head hurts.
What happened to us?","Głowa mi pęka.
Co się z nami stało?"
Examine/Aftermath Beginning/Section ds8,...,...
Examine/Are you sure/Section ds0,Are you sure?,Jesteś pewien?
Examine/Are you sure/Section ds0 Choice 1,Cancel,Anuluj
Examine/Are you sure/Section ds0 Choice 2,Keep,Zachowaj
Examine/AstronomyBase/Section ds1,There's something kinda... disappointing about this room.,Jest coś jakby... rozczarowującego w tym pokoju.
Examine/AstronomyBase/Section ds2,I just expected a bit more from an [h]astronomy tower.[/h],Po prostu spodziewałam się czegoś więcej po [h]wieży astronomicznej.[/h]
Examine/AstronomyBase/Section ds3,Oh - does it not compare to all the [h]other[/h] astronomy towers you've been to?,"Och - nie wypada dobrze na tle wszystkich [h]innych[/h] wież astronomicznych, w których byłaś?"
Examine/AstronomyBase/Section ds4,...,...
Examine/AstronomyBooks/Section ds0,"'A Spyglass to the Stars'
Volumes one to twelve.","'Luneta ku gwiazdom'
Tomy od pierwszego do dwunastego."
Examine/AstronomyBooks/Section ds1,They're in [h]very[/h] good condition...,Są w [h]bardzo[/h] dobrym stanie...
Examine/AstronomyDesk/Section ds0,It's tidier than [h]my[/h] desk.,Schludniejsze niż [h]moje[/h] biurko.
Examine/AstronomyDesk/Section ds1,Even the most [h]well-used[/h] notebooks start off blank.,Nawet najbardziej [h]wyeksploatowane[/h] notatniki zaczynają jako puste.
Examine/AstronomyDesk/Section ds6,...the notebook is untouched - it's completely blank.,...notatnik jest nietknięty - zupełnie pusty.
Examine/AstronomyDesk/Section ds8,So?,I co z tego?
Examine/AstronomyDevice/Section ds0,What [h]is[/h] it?,Co to [h]jest[/h]?
Examine/AstronomyDevice/Section ds1,"Ah, it's clearly some kind of...","Ach, to najwyraźniej jakiś rodzaj..."
Examine/AstronomyDevice/Section ds2,...large device.,...dużego urządzenia.
Examine/AstronomyDevice/Section ds3,You're not wrong.,Nie mylisz się.
Examine/AstronomyJar/Section ds0,"A belljar.
It's empty.","Klosz.
Jest pusty."
Examine/AstronomyJar/Section ds1,What do people [h]normally[/h] keep in belljars?,Co ludzie [h]zwykle[/h] trzymają w kloszach?
Examine/AstronomyJar/Section ds6,"...other than bells, you mean?","...oprócz dzwonów, masz na myśli?"
Examine/AstronomyJar/Section ds8,...,...
Examine/AstronomyMug/Section ds2,It's full of tea... but it's gone cold.,Pełen herbaty... ale już zimnej.
Examine/AstronomyMug/Section ds3,Criminal.,Przestępstwo.
Examine/AstronomyPhoto/Section ds0,A picture frame...,Ramka na zdjęcie...
Examine/AstronomyPhoto/Section ds2,...with no [h]picture.[/h],...bez [h]zdjęcia.[/h]
Examine/AstronomyPoster/Section ds0,It's a chart of the solar system.,To mapa układu słonecznego.
Examine/AstronomyPoster/Section ds2,"Which planet are [h]you[/h] from, Sally?","Z jakiej planety [h]ty[/h] pochodzisz, Sally?"
Examine/AstronomyPoster/Section ds4,......,......
Examine/AstronomyStars/Section ds0,Pretty.,Ładne.
Examine/AstronomyTelescope post/Section ds0,Every astronomy tower needs a telescope.,Każda wieża astronomiczna potrzebuje teleskopu.
Examine/AstronomyTelescope post/Section ds1,I wanna try.,Chcę spróbować.
Examine/AstronomyTelescope post/Section ds1 Choice 1,Have a look.,Zerknij.
Examine/AstronomyTelescope post/Section ds1 Choice 2,Leave it alone.,Zostaw go w spokoju.
Examine/AstronomyTelescope pre/Section ds0,...let's at least introduce ourselves - before touching his telescope.,...przedstawmy się chociaż - zanim dotkniemy jego teleskopu.
Examine/AstronomyTelescope pre/Section ds1,Always a good rule.,Zawsze dobra zasada.
Examine/AstronomyTrinkets/Section ds0,Trinkets...,Drobiazgi...
Examine/AstronomyTrinkets/Section ds3,Uh - they're clearly [h]gizmos.[/h],Yy - to najwyraźniej [h]gadżety.[/h]
Examine/AstronomyWindow/Section ds0,It's too cloudy to see any stars right now...,"Zbyt pochmurno, by teraz zobaczyć jakiekolwiek gwiazdy..."
