term,en,pl
Title/BACK TO TITLE,BACK TO TITLE,POWRÓT DO MENU
Title/CREDITS,CREDITS,TWÓRCY
Title/Credits/Co funded EU,Co-funded by the European Union,Współfinansowane przez Unię Europejską
Title/Credits/GAME DEVELOPMENT,GAME DEVELOPMENT,PRODUKCJA GRY
Title/Credits/MUSIC VOICE SOUND,"MUSIC, VOICE, SOUND","MUZYKA, GŁOSY, DŹWIĘK"
Title/Credits/Role Adam,"story and script
character design
game design
puzzle design","fabuła i scenariusz
projekt postaci
projekt gry
projekt zagadek"
Title/Credits/Role Catherine,"environment art
clue object art
character design
story","grafika otoczenia
grafika tropów
projekt postaci
fabuła"
Title/Credits/Role David,orchestration,orkiestracja
Title/Credits/Role Jonathan,character animation,animacja postaci
Title/Credits/Role Kimlinh,"casting
voice direction","casting
reżyseria głosów"
Title/Credits/Role Martin,score editor,edycja muzyki
Title/Credits/Role Raph,original score,muzyka oryginalna
Title/Credits/Role Tom,"programming
development
game design
story","programowanie
produkcja
projekt gry
fabuła"
Title/Credits/SFB Author,"SFB Games is the author of this software.
2019 SFB Games Limited","SFB Games jest autorem tego oprogramowania.
2019 SFB Games Limited"
Title/Credits/TESTING,TESTING,TESTY
Title/Credits/Voices,voices,głosy
Title/Intro/Mid Afternoon,Mid-afternoon,Wczesne popołudnie
Title/Intro/Tangle Tower,Tangle Tower,Tangle Tower
Title/Music player,"MUSIC 
PLAYER","SŁUCHAJ
MUZYKI"
Title/SETTINGS,SETTINGS,OPCJE
Title/START GAME,START GAME,ROZPOCZNIJ GRĘ
Title/Saves/CREATE NEW FILE,CREATE NEW FILE,UTWÓRZ NOWY ZAPIS
