term,en,pl
Hints/0 Examine the Painting,We should explore Flora's Tower.,Powinniśmy zbadać wieżę Flory.
Hints/0 Go to Crime Scene,We should head up to the crime scene. It's at the top of the tower.,Powinniśmy udać się na miejsce zbrodni. Jest na szczycie wieży.
Hints/A new bedroom to visit,We should check out that newly unlocked bedroom.,Powinniśmy zajrzeć do tej nowo odblokowanej sypialni.
Hints/Crab Puzzle Help,Didn't we see that same crab in the Children's Book?,Czy nie widzieliśmy już tego samego kraba w dziecięcej książce?
Hints/Go find the Harmonograph,We should go back and check the Gardens...,Powinniśmy wrócić i sprawdzić ogrody...
Hints/Let's head to Grand Hall Night,Let's go back to the Grand Hall and look for that last room...,Wróćmy do wielkiej sali i poszukajmy tego ostatniego pokoju...
Hints/Let's head to Lowest Level,...is there another room beneath the Laboratory?,...czy jest jeszcze jeden pokój pod laboratorium?
Hints/Lets Solve the mystery,Let's finally solve this murder case...,W końcu rozwiążmy tę sprawę morderstwa...
Hints/Lets discuss the missing clue,Let's discuss this...,Omówmy to...
Hints/Lets examine Flora's Tower basics,Let's take a second look at the clues in Flora's Tower...,Przyjrzyjmy się jeszcze raz tropom w wieży Flory...
Hints/Lets head to Flora's Tower,"Let's head back to the crime scene, one last time...","Wróćmy na miejsce zbrodni, jeszcze ten ostatni raz..."
Hints/Looking for a way into the Study,There must be a way into that hidden room...,"Musi być jakiś sposób, żeby dostać się do tego ukrytego pokoju..."
Hints/Need to talk to Sally,Let's discuss what we've learned...,"Omówmy, czego się dowiedzieliśmy..."
Hints/Rooftop Garden puzzle,...is there a connection between Poppy's Room and Fitz's Room?,...czy jest związek między pokojem Poppy a pokojem Fitza?
Hints/Something in the window,There's something sitting in Flora's window...,Coś siedzi w oknie Flory...
Hints/Still need to explore Astronomy Tower,We should search the Astronomy Tower.,Powinniśmy przeszukać wieżę astronomiczną.
Hints/Still need to explore Attic,We should search the Attic.,Powinniśmy przeszukać strych.
Hints/Still need to explore Aviary,We should search the Aviary.,Powinniśmy przeszukać ptaszarnię.
Hints/Still need to explore Fifi's Room,We should search Fifi's Room.,Powinniśmy przeszukać pokój Fifi.
Hints/Still need to explore Fitz's Room,We should search Fitz's Room.,Powinniśmy przeszukać pokój Fitza.
Hints/Still need to explore Flora's Tower,We should search Flora's Tower.,Powinniśmy przeszukać wieżę Flory.
Hints/Still need to explore Freya's Room,We should search Freya's Room.,Powinniśmy przeszukać pokój Freyi.
Hints/Still need to explore Gardens,We should search the Gardens.,Powinniśmy przeszukać ogrody.
Hints/Still need to explore Greenhouse,We should search the Greenhouse.,Powinniśmy przeszukać szklarnię.
Hints/Still need to explore Library,We should search the Library.,Powinniśmy przeszukać bibliotekę.
Hints/Still need to explore Lowest Level,We should explore the Lowest Level.,Powinniśmy przeszukać najniższy poziom.
Hints/Still need to explore Main Entrance,We should search the Main Entrance.,Powinniśmy przeszukać główne wejście.
Hints/Still need to explore Music Room,We should search the Music Room.,Powinniśmy przeszukać salę muzyczną.
Hints/Still need to explore Penny's Room,We should search Penny's Room.,Powinniśmy przeszukać pokój Penny.
Hints/Still need to explore Poppy's Room,We should search Poppy's Room.,Powinniśmy przeszukać pokój Poppy.
Hints/Still need to explore Rooftop Garden,We should search the Rooftop Garden.,Powinniśmy przeszukać ogród na dachu.
Hints/Still need to explore Stone Square,We should search the Stone Square.,Powinniśmy przeszukać kamienny plac.
Hints/Still need to explore Workshop,We should search the Workshop.,Powinniśmy przeszukać warsztat.
Hints/Still need to explore the Lab,We should explore the Laboratory.,Powinniśmy przeszukać laboratorium.
Hints/Still need to talk to Felix,We should talk to Felix.,Powinniśmy porozmawiać z Felixem.
Hints/Still need to talk to Fifi,We should talk to Fifi.,Powinniśmy porozmawiać z Fifi.
Hints/Still need to talk to Fitz,We should talk to Fitz.,Powinniśmy porozmawiać z Fitzem.
Hints/Still need to talk to Flora,We should talk to Flora.,Powinniśmy porozmawiać z Florą.
Hints/Still need to talk to Hawkshaw,We should talk to Hawkshaw.,Powinniśmy porozmawiać z Hawkshaw.
Hints/Still need to talk to Penny,We should talk to Penny.,Powinniśmy porozmawiać z Penny.
Hints/Still need to talk to Pointer,We should talk to Professor Pointer.,Powinniśmy porozmawiać z profesorem Pointerem.
Hints/Still need to talk to Poppy,We should talk to Poppy.,Powinniśmy porozmawiać z Poppy.
Hints/Still need to use Gramophone,We should try out the Gramophone in Flora's Tower.,Powinniśmy wypróbować gramofon w wieży Flory.
Hints/Talk to Sally,Let's go back to the Lake's Edge and discuss what we've learned.,"Wróćmy nad brzeg jeziora i omówmy, czego się dowiedzieliśmy."
Hints/The murderer appeared,Someone appeared in the shadows of Flora's Tower...,Ktoś pojawił się w cieniach wieży Flory...
Hints/Visit all the unlocked rooms,We should check out all the rooms in Tangle Tower.,Powinniśmy zajrzeć do wszystkich pokoi w Tangle Tower.
Hints/Visit unlocked attic,We should check out all the rooms in Tangle Tower.,Powinniśmy zajrzeć do wszystkich pokoi w Tangle Tower.
Hints/We still need to explore the Study,We should explore The Study...,Powinniśmy przeszukać gabinet...
Hints/go back to the gardens,We have all four melodies. Let's go back and check the Gardens.,Mamy wszystkie cztery melodie. Wróćmy i sprawdźmy ogrody.
Hints/is there a melody in the Flora's Tower,...did we hear some kind of melody while in Flora's Tower?,...czy słyszeliśmy jakąś melodię w wieży Flory?
Hints/is there a melody in the Main Entrance,...did we hear some kind of melody by the Main Entrance?,...czy słyszeliśmy jakąś melodię przy głównym wejściu?
Hints/is there a melody in the lakes edge,...did we hear some kind of melody by the Lake's Edge?,...czy słyszeliśmy jakąś melodię przy brzegu jeziora?
Hints/is there a melody in the music room,...did we hear some kind of melody in the Music Room?,...czy słyszeliśmy jakąś melodię w sali muzycznej?
Hints/time to go down,We should see what's beneath the Gardens...,"Powinniśmy sprawdzić, co jest pod ogrodami..."
