term,en,pl
Family/Brother,Brother,Brat
Family/Client,Client,Klient
Family/Close FriendF,Close Friend,Bliska Przyjaciółka
Family/Close FriendM,Close Friend,Bliski Przyjaciel
Family/Daughter,Daughter,Córka
Family/Father,Father,Ojciec
Family/Fiancé,Fiancé,Narzeczony
Family/Fiancée,Fiancée,Narzeczona
Family/FriendF,Friend,Przyjaciółka
Family/FriendM,Friend,Przyjaciel
Family/Hiree,Hiree,Zatrudniona
Family/Husband,Husband,Mąż
Family/Lead Suspect,Lead Suspect,Główny Podejrzany
Family/Mother,Mother,Matka
Family/Niece,Niece,Siostrzenica
Family/Sister,Sister,Siostra
Family/Uncle,Uncle,Wuj
Family/Wife,Wife,Żona
