term,en,pl
Souls/Family Tree/Buck Brackley,Buck Brackley,Buck Brackley
Souls/Family Tree/Damian Dusk,Damian Dusk,Damian Dusk
Souls/Family Tree/Emily Everstone,Emily Everstone,Emily Everstone
Souls/Family Tree/Felicia Fellow,Felicia Fellow,Felicia Fellow
Souls/Family Tree/Flint Fellow,Flint Fellow,Flint Fellow
Souls/Family Tree/Lord Remington,Lord Remington,Lord Remington
Souls/Family Tree/Pandora Pointer,Pandora Pointer,Pandora Pointer
Souls/Family Tree/Primrose Pointer,Primrose Pointer,Primrose Pointer
Souls/Family Tree/Richard Remington,Richard Remington,Richard Remington
Souls/Kana Long Names/Detective Grimoire, , 
Souls/Kana Long Names/Detective Hawkshaw, , 
Souls/Kana Long Names/Felix Fellow, , 
Souls/Kana Long Names/Fifi Fellow, , 
Souls/Kana Long Names/Fitz Fellow, , 
Souls/Kana Long Names/Flora Fellow, , 
Souls/Kana Long Names/Freya Fellow, , 
Souls/Kana Long Names/Penelope Pointer, , 
Souls/Kana Long Names/Penny Pointer, , 
Souls/Kana Long Names/Poppy Pointer, , 
Souls/Kana Long Names/Professor Pointer, , 
Souls/Kana Long Names/Sally, , 
Souls/Kana Names/Felix, , 
Souls/Kana Names/Fifi, , 
Souls/Kana Names/Fitz, , 
Souls/Kana Names/Flora, , 
Souls/Kana Names/Freya, , 
Souls/Kana Names/Grimoire, , 
Souls/Kana Names/Hawkshaw, , 
Souls/Kana Names/Hunter, , 
Souls/Kana Names/Penny, , 
Souls/Kana Names/Pointer, , 
Souls/Kana Names/Poppy, , 
Souls/Kana Names/Sally, , 
Souls/Long Names/Detective Grimoire,Detective Grimoire,Detektyw Grimoire
Souls/Long Names/Detective Hawkshaw,Detective Hawkshaw,Detektyw Hawkshaw
Souls/Long Names/Felix Fellow,Felix Fellow,Felix Fellow
Souls/Long Names/Fifi Fellow,Fifi Fellow,Fifi Fellow
Souls/Long Names/Fitz Fellow,Fitz Fellow,Fitz Fellow
Souls/Long Names/Flora Fellow,Flora Fellow,Flora Fellow
Souls/Long Names/Freya Fellow,Freya Fellow,Freya Fellow
Souls/Long Names/Penelope Pointer,Penelope Pointer,Penelope Pointer
Souls/Long Names/Penny Pointer,Penny Pointer,Penny Pointer
Souls/Long Names/Poppy Pointer,Poppy Pointer,Poppy Pointer
Souls/Long Names/Professor Pointer,Professor Pointer,Profesor Pointer
Souls/Long Names/Sally,Sally,Sally
Souls/Names/Felix,Felix,Felix
Souls/Names/Fifi,Fifi,Fifi
Souls/Names/Fitz,Fitz,Fitz
Souls/Names/Flora,Flora,Flora
Souls/Names/Freya,Freya,Freya
Souls/Names/Grimoire,Grimoire,Grimoire
Souls/Names/Hawkshaw,Hawkshaw,Hawkshaw
Souls/Names/Hunter,Penelope,Penelope
Souls/Names/Penny,Penny,Penny
Souls/Names/Pointer,Pointer,Pointer
Souls/Names/Poppy,Poppy,Poppy
Souls/Names/Sally,Sally,Sally
Souls/Suspicions/Felix 1,...is there anything suspicious about Felix?,...czy jest coś podejrzanego w kwestii Felixa?
Souls/Suspicions/Felix 10,"He finished painting the model, but did not give it to Flora.","Skończył malować model, ale nie dał go Florze."
